train/explained_variance,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,time/time_elapsed,time/iterations,time/total_timesteps,train/std,time/fps
0.0,-0.0016389740630984306,6499,3.024812826879497e-07,-2.8151283264160156,0.0007,70,6500,32500,0.9919251203536987,458
0.0,-0.0011243193875998259,6599,3.016556604507059e-07,-2.826103448867798,0.0007,71,6600,33000,0.9982224702835083,459
0.0,-0.0011715904111042619,6699,3.0101693937467644e-07,-2.8352737426757812,0.0007,72,6700,33500,1.0016590356826782,461
0.00010955333709716797,-0.0012350545730441809,6799,2.996913508468424e-07,-2.8362491130828857,0.0007,73,6800,34000,1.0015242099761963,463
0.0,-0.001115638529881835,6899,2.977973565521097e-07,-2.8219456672668457,0.0007,74,6900,34500,0.9946651458740234,464
0.0,-0.0010036566527560353,6999,2.991740188917902e-07,-2.8211584091186523,0.0007,75,7000,35000,0.9945234060287476,465
0.0,-0.0013945510145276785,7099,2.976066753035411e-07,-2.8207848072052,0.0007,76,7100,35500,0.9929454922676086,466
-1.823902130126953e-05,-0.0018647836986929178,7199,2.961103859888681e-07,-2.8254120349884033,0.0007,77,7200,36000,0.9947342872619629,467
0.0,-0.0021062172017991543,7299,2.948554254089686e-07,-2.8234028816223145,0.0007,77,7300,36500,0.9935653209686279,468
-1.1920928955078125e-07,-0.002033661585301161,7399,2.9485408958862536e-07,-2.8331661224365234,0.0007,78,7400,37000,0.9990420341491699,468
0.0,-0.0010843649506568909,7499,2.927781110884098e-07,-2.831310749053955,0.0007,79,7500,37500,1.000043272972107,469
0.0,-0.0013916491298004985,7599,2.9199162554505165e-07,-2.8321051597595215,0.0007,80,7600,38000,0.9999154806137085,470
0.0,-0.0012965414207428694,7699,2.9018670488767384e-07,-2.8272953033447266,0.0007,81,7700,38500,0.9979573488235474,470
0.0,-0.0013116349000483751,7799,2.8992093348279013e-07,-2.8288674354553223,0.0007,82,7800,39000,0.998028039932251,471
-1.1920928955078125e-07,-0.0017330411355942488,7899,2.89602439806913e-07,-2.813131332397461,0.0007,83,7900,39500,0.9891941547393799,471
3.713369369506836e-05,-0.0015773887280374765,7999,2.8762050874320266e-07,-2.8098459243774414,0.0007,84,8000,40000,0.9876531958580017,472
1.1920928955078125e-07,-0.0009834504453465343,8099,2.8628286941057013e-07,-2.802374839782715,0.0007,85,8100,40500,0.9851840734481812,471
0.0,-0.0012217641342431307,8199,2.856045284715947e-07,-2.815286636352539,0.0007,86,8200,41000,0.9913167357444763,471
0.0,-0.0012236241018399596,8299,2.848816507139418e-07,-2.8295254707336426,0.0007,87,8300,41500,0.998550534248352,472
1.1920928955078125e-07,-0.0017642378807067871,8399,2.8446984856600466e-07,-2.842529773712158,0.0007,88,8400,42000,1.004602313041687,472
0.0,-0.001040480099618435,8499,2.853906551081309e-07,-2.8452539443969727,0.0007,89,8500,42500,1.0073087215423584,473
0.0,-0.001184010412544012,8599,2.8532707574413507e-07,-2.8345751762390137,0.0007,90,8600,43000,1.0022552013397217,473
5.960464477539063e-08,-0.0010562788229435682,8699,2.855823879599484e-07,-2.8301663398742676,0.0007,91,8700,43500,1.0004358291625977,474
0.0,-0.0015767744043841958,8799,2.8439757215892314e-07,-2.8501930236816406,0.0007,92,8800,44000,1.0095338821411133,473
0.0,-0.0012039527064189315,8899,2.8544977226374613e-07,-2.837064266204834,0.0007,93,8900,44500,1.003715991973877,474
0.0,-0.0014824847457930446,8999,2.846823861091252e-07,-2.834048271179199,0.0007,94,9000,45000,1.0016835927963257,474
0.0,-0.0012024152092635632,9099,2.815691004798282e-07,-2.834299087524414,0.0007,95,9100,45500,1.0021251440048218,475
