time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/n_updates,train/value_loss
65536,32,579,113,0.10341796875,0.0106764315,-0.0002758502960205078,-0.003771440134732984,1.441230058670044,0.0003,0.0011709777172654867,0.2,-3.5635481223464014,310,3.1838448770202604e-07
67584,33,582,116,0.056103515625,0.0077897194,-6.794929504394531e-05,-0.0008918246552639175,1.4617137908935547,0.0003,-0.015131033025681973,0.2,-3.580726595968008,320,2.5097016592097805e-06
69632,34,583,119,0.0154296875,0.002769186,4.172325134277344e-05,-0.0003947723002056591,1.4923855066299438,0.0003,0.002868122886866331,0.2,-3.614656810462475,330,5.356408442042268e-06
71680,35,584,122,0.07978515625,0.008474847,-0.0005118846893310547,-0.0023058905950165353,1.486396074295044,0.0003,0.01824858784675598,0.2,-3.633652774244547,340,3.4656330531725373e-07
73728,36,585,126,0.049609375,0.007650207,0.00024050474166870117,-0.0023699274606769904,1.5368874073028564,0.0003,-0.016974518075585365,0.2,-3.6650059796869754,350,1.5140060624739895e-06
75776,37,586,129,0.007373046875,0.003904466,0.025649726390838623,-0.0001690549725026358,1.5191636085510254,0.0003,-0.0011444920673966408,0.2,-3.6836534403264523,360,1.6423171872734644e-05
77824,38,587,132,0.070703125,0.0059892875,-0.014724254608154297,-0.002331612931448035,1.5257937908172607,0.0003,9.674578905105591e-05,0.2,-3.6754630327224733,370,3.6159909201815574e-08
79872,39,588,135,0.062255859375,0.008002663,-0.004591703414916992,-0.0027238762326305733,1.5092215538024902,0.0003,-0.010968480259180069,0.2,-3.6660921707749368,380,8.671295441332849e-10
81920,40,589,139,0.033349609375,0.0048446697,0.02336055040359497,-0.0005152463796548546,1.526960849761963,0.0003,-0.0025923773646354675,0.2,-3.6712641261518,390,1.2365624739214976e-10
83968,41,589,142,0.099560546875,0.011039131,-0.011474251747131348,-0.0034623884021129925,1.513913631439209,0.0003,0.010293634608387947,0.2,-3.674107678234577,400,9.007599156689596e-07
86016,42,590,145,4.8828125e-05,0.0008832595,-0.0001035928726196289,0.0005599834999884479,1.5034396648406982,0.0003,0.0001905416138470173,0.2,-3.65740387737751,410,7.755402874674482e-05
88064,43,590,149,0.00205078125,0.0032319957,8.559226989746094e-05,0.00038851514909765683,1.4954721927642822,0.0003,0.007907602936029434,0.2,-3.642468138039112,420,4.450512339736455e-09
90112,44,591,152,0.03447265625,0.007192535,-0.00039827823638916016,-0.0017906159773701802,1.4794243574142456,0.0003,-0.007234286516904831,0.2,-3.630674369633198,430,2.900177152648246e-09
92160,45,591,155,0.05546875,0.00829475,-0.0004572868347167969,-0.0027507089762366377,1.4405310153961182,0.0003,-0.010749584063887596,0.2,-3.590340081602335,440,7.721553244173095e-09
94208,46,592,158,0.016650390625,0.0019897246,0.0006645321846008301,-0.000501665225601755,1.420281171798706,0.0003,0.0017352813156321645,0.2,-3.5480296216905116,450,1.8712210203728745e-09
96256,47,592,162,0.038720703125,0.006345437,0.0014964938163757324,-0.0012757512435200625,1.387162208557129,0.0003,-0.007471205200999975,0.2,-3.5126379527151586,460,3.5792673854009258e-09
98304,48,591,166,0.0623046875,0.006335484,0.00022602081298828125,-0.0024566978769144042,1.3719192743301392,0.0003,-0.0013117766939103603,0.2,-3.4776252254843714,470,1.6095439772587027e-08
100352,49,591,169,0.05166015625,0.00992105,0.001259922981262207,-0.0019399662891373738,1.3372247219085693,0.0003,0.008868579752743244,0.2,-3.4371954761445522,480,4.894631263173622e-07
102400,50,591,173,0.018212890625,0.002642828,-0.0005173683166503906,-0.0004691076566814445,1.3033595085144043,0.0003,-0.012501729652285576,0.2,-3.3840326271951198,490,6.5631291444326184e-06
104448,51,592,176,0.033203125,0.006150558,0.0022311806678771973,-0.0014288367616245522,1.2818922996520996,0.0003,-0.00967717170715332,0.2,-3.3417526073753834,500,1.5012509641845316e-08
106496,52,592,179,0.071044921875,0.007709682,-0.0007808208465576172,-0.0021131686109583823,1.2754744291305542,0.0003,0.020018570125102997,0.2,-3.320481513440609,510,1.3714367485860579e-05
